3385		
10001	169	3
10002	169	2
10003	169	4
10004	169	3
10005	169	2
10006	169	3
10007	169	4
10008	169	3
10009	169	3
10010	169	3
10011	169	4
10012	169	5
10013	169	2
10014	169	3
10015	169	2
10016	169	3
10017	169	3
10018	169	3
10019	183	2
10001	183	3
10002	183	2
10003	183	2
10020	183	2
10021	183	2
10022	183	4
10023	183	4
10024	183	3
10025	183	5
10004	183	4
10005	183	4
10026	183	4
10027	183	2
10028	183	4
10006	183	3
10007	183	4
10008	183	3
10029	183	2
10009	183	4
10030	183	2
10031	183	2
10010	183	4
10032	183	2
10011	183	4
10033	183	3
10034	183	3
10035	183	2
10012	183	5
10036	183	3
10037	183	3
10038	183	2
10013	183	2
10039	183	2
10040	183	4
10041	183	4
10042	183	3
10043	183	3
10014	183	4
10044	183	3
10045	183	3
10015	183	4
10046	183	5
10047	183	3
10048	183	3
10049	183	4
10050	183	5
10016	183	3
10051	183	2
10052	183	2
10053	183	2
10054	183	5
10017	183	3
10055	183	4
10056	183	2
10057	183	2
10018	183	3
10001	153	3
10058	153	3
10059	153	3
10060	153	3
10061	153	2
10034	153	2
10062	153	2
10063	153	2
10064	153	2
10065	153	2
10037	153	3
10038	153	3
10042	153	3
10066	153	2
10016	153	3
10017	153	3
10067	153	2
10068	153	2
10056	153	2
10001	58	3
10069	58	3
10070	58	5
10023	58	3
10024	58	3
10025	58	5
10004	58	2
10005	58	3
10026	58	4
10027	58	2
10007	58	4
10010	58	2
10032	58	2
10011	58	2
10033	58	3
10036	58	3
10015	58	4
10054	58	5
10071	58	2
10011	184	3
10072	184	5
10001	104	3
10058	104	3
10037	104	3
10038	104	3
10073	104	2
10074	104	2
10045	104	2
10075	104	2
10016	104	3
10052	104	2
10001	88	4
10058	88	3
10022	88	3
10027	88	2
10007	88	2
10076	88	2
10010	88	2
10077	88	2
10033	88	2
10034	88	3
10036	88	4
10042	88	4
10078	88	2
10079	88	2
10052	88	2
10007	118	2
10009	118	2
10080	118	2
10081	118	2
10031	118	2
10010	118	2
10077	118	2
10032	118	2
10011	118	3
10082	118	2
10015	118	2
10071	118	2
10072	118	5
10083	189	2
10001	189	3
10021	189	2
10022	189	3
10007	189	4
10084	189	2
10063	189	2
10085	189	2
10042	189	2
10086	189	2
10045	189	2
10028	189	4
10060	189	3
10062	189	2
10087	189	3
10004	189	2
10015	189	2
10071	189	2
10066	189	2
10088	189	2
10016	189	3
10089	189	2
10001	55	2
10058	55	3
10023	55	3
10024	55	3
10025	55	5
10005	55	3
10026	55	3
10007	55	3
10034	55	3
10015	55	3
10054	55	5
10001	15	3
10004	15	2
10005	15	2
10026	15	3
10028	15	2
10006	15	3
10007	15	4
10009	15	2
10032	15	2
10011	15	2
10034	15	3
10063	15	2
10090	15	5
10036	15	2
10015	15	4
10048	15	2
10050	15	5
10016	15	3
10091	15	2
10054	15	5
10017	15	3
10001	14	3
10003	14	2
10058	14	3
10022	14	4
10004	14	2
10005	14	2
10027	14	2
10007	14	2
